eps,min_samples,n_clusters,noise_ratio,silhouette
1.0,5,9,0.9740724184175235,0.5994818940899165
1.0,10,0,1.0,
1.0,15,0,1.0,
1.5,5,39,0.6598122485471614,0.08473367570494798
1.5,10,7,0.9047831917746982,0.3461891582298665
1.5,15,2,0.9561913276709879,0.42458261132938446
2.0,5,22,0.22172552525704067,0.11029313529947979
2.0,10,14,0.40634778721502013,0.13930252465272025
2.0,15,8,0.5453732677693339,0.1796067074380982
2.5,5,13,0.07241841752346893,0.09202791041450133
2.5,10,7,0.1314260169870362,0.11237055138642632
2.5,15,7,0.20652659812248547,0.11290654775247602
3.0,5,6,0.024586499776486366,0.1455544818677838
3.0,10,6,0.042914617791685296,0.14196536847057256
3.0,15,4,0.07465355386678588,0.1385424395379908
3.5,5,4,0.012069736253911488,0.24790734926235583
3.5,10,4,0.016540008940545373,0.1530981168319409
3.5,15,4,0.019222172552525705,0.15213767499956696
4.0,5,3,0.010728654447921324,0.2703152344903148
4.0,10,3,0.010728654447921324,0.2703152344903148
4.0,15,3,0.012069736253911488,0.26811422342593544
4.5,5,3,0.009387572641931158,0.26981597964385606
4.5,10,3,0.009387572641931158,0.26981597964385606
4.5,15,3,0.009387572641931158,0.26981597964385606
5.0,5,3,0.00581135449262405,0.2677328564772608
5.0,10,3,0.006258381761287439,0.2680803962031392
5.0,15,3,0.006258381761287439,0.2680803962031392
6.0,5,1,0.0031291908806437194,
6.0,10,1,0.0031291908806437194,
6.0,15,1,0.004023245417970496,
7.0,5,1,0.002682163611980331,
7.0,10,1,0.002682163611980331,
7.0,15,1,0.002682163611980331,
