Component,Explained Variance Ratio,Cumulative Variance
PC1,0.19285938601884878,0.19285938601884878
PC2,0.07732346593862766,0.27018285195747643
PC3,0.06664965252897864,0.3368325044864551
PC4,0.06046841182924709,0.3973009163157022
PC5,0.05712939588432132,0.4544303122000235
PC6,0.05103489986861763,0.5054652120686411
PC7,0.04850175335864142,0.5539669654272825
PC8,0.044631635832046414,0.598598601259329
PC9,0.04405428092109478,0.6426528821804237
PC10,0.04221680454921963,0.6848696867296433
PC11,0.0413385713506956,0.726208258080339
PC12,0.04015520512039446,0.7663634632007335
PC13,0.03817937288405551,0.8045428360847889
PC14,0.035877448159483474,0.8404202842442724
PC15,0.03335247274772899,0.8737727569920014
